SCHOOL,DISTRICT,CODE,NAME,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SEC,THIRD,PASS,FAIL,PASS.PERCENT
2752,CHITWAN,34084,BRIGHT STAR SECONDARY BOARDING SCHOOL PA,59,52,73,4,61,49,28,28,1,19,5,0,25,3,89
2510,LALITPUR,32126,BRIGHT STAR WORKER'S ENGLISH SCHOOL HARISI,5,58,74,46,45,44,17,17,0,11,6,0,17,0,100
2899,BARA,36066,BRIGHTLAND ENGLISH BOARDING SCHOOL KALAIY,7,66,9,52,76,59,10,10,5,5,0,0,10,0,100
4566,BANKE,67033,BRIGHTLAND HIGH SCHOOL SURKHET ROAD NEPAL,57,60,57,37,51,48,64,64,0,46,15,0,61,3,95
3880,RUPANDEHI,48097,BRIHASPATI HIGHER SECONDARY SCHOOL SIDDHA,55,53,45,29,54,50,68,68,3,25,15,0,43,25,63
1929,KATHMANDU,29105,BRIHASPATI VIDHYASADAN MA VI NAXAL,60,63,81,55,53,49,112,112,5,97,10,0,112,0,100
2267,KATHMANDU,29466,BRITISH GURKHA ACADEMY HIGH SCHOOL BANSBA,65,53,81,54,57,57,27,27,2,23,1,0,26,1,96
4841,KAILALI,73066,BROAD VISION INT'L ACADEMY CHATAKPUR DHANG,55,52,69,43,55,52,32,32,2,17,11,0,30,2,94
2347,KATHMANDU,29551,BROOKFIELD ACADEMY SINAMANGAL,61,62,9,47,54,56,10,10,2,8,0,0,10,0,100
3292,TANAHUN,42026,BUCHAKHANI MA VI BUCHA BHANJYANG,25,44,25,25,35,5,20,20,0,0,9,0,9,11,45
314,JHAPA,4162,BUD INTERNATIONAL PUBLIC SCHOOL ANARMANI-3,24,4,19,20,41,35,66,66,0,1,9,1,11,55,17
2253,KATHMANDU,29451,BUDDHA ACADEMY BOARDING SCHOOL BOUDHA J,60,58,85,33,62,55,22,22,0,21,0,0,21,1,95
176,JHAPA,4022,BUDDHA ADARSHA MA VI JAYPUR BUDHABARE,22,49,33,3,45,37,107,107,0,6,30,3,39,68,36
3797,RUPANDEHI,48012,BUDDHA ADARSHA MA VI LUMBINI,27,39,22,22,41,35,30,30,0,0,6,0,6,24,20
2537,LALITPUR,32154,BUDDHA BHAGWAN MA VI MANIKHEL,38,60,4,27,50,45,15,15,0,5,4,0,9,6,60
1155,RAMECHHAP,18032,BUDDHA BHAWANI MA VI MAKADUM,20,39,25,21,39,4,25,25,0,0,6,1,7,18,28
3918,RUPANDEHI,48135,BUDDHA DEEP ENGLISH BOARDING SCHOOL RUDR,36,52,51,51,67,49,10,10,0,8,2,0,10,0,100
4568,BANKE,67035,BUDDHA ENGLISH MA VI DHAMBOJI,55,54,65,34,48,4,17,17,0,11,5,0,16,1,94
1691,KAVREPALANC,27075,BUDDHA HIMALAYA MA VI MAJHIPHEDA,19,37,24,2,30,27,21,21,0,0,2,0,2,19,10
4243,SALYAN,56031,BUDDHA JAN KALYAN MA VI BADAGAUN,25,39,16,19,38,37,46,46,0,0,1,0,1,45,2
2763,CHITWAN,34099,BUDDHA JYOTI BOARDING SCHOOL,55,5,73,44,60,60,22,22,3,15,4,0,22,0,100
3961,KAPILVASTU,49043,BUDDHA JYOTI ENGLISH BOARDING SCHOOL,59,45,67,51,68,55,17,17,0,17,0,0,17,0,100
2164,KATHMANDU,29356,BUDDHA JYOTI ENGLISH BOARDING SCHOOL DALL,59,70,8,47,47,52,22,22,2,17,3,0,22,0,100
3804,RUPANDEHI,48019,BUDDHA JYOTI MA VI SIDDARTHANAGAR,60,56,52,29,57,49,99,99,3,47,19,0,69,30,70
4354,DANG,58083,BUDDHA JYOTI SECONDARY SCHOOL DANG,50,47,40,38,46,46,10,10,0,2,4,0,6,4,60
4370,MUGU,60004,BUDDHA MA BI MANGRI,16,48,16,2,38,3,3,3,0,0,1,0,1,2,33
2536,LALITPUR,32153,BUDDHA MA VI BADEGAUN THAIBA,43,60,63,39,41,37,26,26,0,10,15,0,25,1,96
87,PANCHTHAR,2054,BUDDHA MA VI FALAICHA-3,2,43,37,34,50,43,25,24,0,0,14,2,16,8,67
800,SOLUKHUMBU,11033,BUDDHA MA VI GOLI,21,51,2,27,54,39,28,28,0,0,7,0,7,21,25
2622,MAKWANPUR,33022,BUDDHA MA VI HANTISUNDE,22,52,30,22,42,34,44,44,0,4,10,1,15,29,34
557,MORANG,9061,BUDDHA MA VI SHANISHCHARE SAKHUWARA,15,35,20,26,39,31,136,134,0,1,14,0,15,119,11
3043,LAMJUNG,40008,BUDDHA MILAN MA VI PYARJUNG,31,63,3,30,5,5,6,6,0,0,3,0,3,3,50
3923,KAPILVASTU,49004,BUDDHA PADMA MA VI TOULIHAWA,41,45,51,35,60,44,25,25,0,7,18,0,25,0,100
2321,KATHMANDU,29523,BUDDHA PRABHAT ENGLISH SCHOOL CHABAHIL,44,42,40,30,38,42,14,14,0,2,5,1,8,6,57
2688,CHITWAN,34020,BUDDHA SHANTI MA VI PIPLE 7,34,53,52,29,6,50,105,105,1,22,71,0,94,11,90
967,SAPTARI,15013,BUDDHILAL BIDYAMUNAR MA VI BHAGWATPUR,2,42,28,29,36,35,101,101,0,3,5,0,8,93,8
